Symbol,Percent_Diff,Compound
AAPL,2.2404520968606985,0.2771125
AMZN,4.5700647823336,0.2927
FB,4.117108582501318,0.10448125
GLD,-0.004848013951313179,0.29164
GOOG,6.041507694323988,0.2033
NFLX,7.576156879727932,0.007150000000000003
